1,Алейск
2,Барнаул
3,Белокуриха
4,Бийск
5,Горняк
6,Заринск
7,Змеиногорск
8,Камень-на-Оби
9,Новоалтайск
10,Рубцовск
11,Славгород
12,Яровое
13,Белогорск
14,Благовещенск
15,Завитинск
16,Зея
17,Райчихинск
18,Свободный
19,Сковородино
20,Тында
21,Циолковский
22,Шимановск
23,Архангельск
24,Вельск
25,Каргополь
26,Коряжма
27,Котлас
28,Мезень
29,Мирный
30,Нарьян-Мар
31,Новодвинск
32,Няндома
33,Онега
34,Северодвинск
35,Сольвычегодск
36,Шенкурск
37,Астрахань
38,Ахтубинск
39,Знаменск
40,Камызяк
41,Нариманов
42,Харабали
43,Алексеевка
44,Белгород
45,Бирюч
46,Валуйки
47,Грайворон
48,Губкин
49,Короча
50,Новый Оскол
51,Старый Оскол
52,Строитель
53,Шебекино
54,Брянск
55,Дятьково
56,Жуковка
57,Злынка
58,Карачев
59,Клинцы
60,Мглин
61,Новозыбков
62,Почеп
63,Севск
64,Сельцо
65,Стародуб
66,Сураж
67,Трубчевск
68,Унеча
69,Фокино
70,Александров
71,Владимир
72,Вязники
73,Гороховец
74,Гусь-Хрустальный
75,Камешково
76,Карабаново
77,Киржач
78,Ковров
79,Кольчугино
80,Костерево
81,Курлово
82,Лакинск
83,Меленки
84,Муром
85,Петушки
86,Покров
87,Радужный
88,Собинка
89,Струнино
90,Судогда
91,Суздаль
92,Юрьев-Польский
93,Волгоград
94,Волжский
95,Дубовка
96,Жирновск
97,Калач-на-Дону
98,Камышин
99,Котельниково
100,Котово
101,Краснослободск
102,Ленинск
103,Михайловка
104,Николаевск
105,Новоаннинский
106,Палласовка
107,Петров Вал
108,Серафимович
109,Суровикино
110,Урюпинск
111,Фролово
112,Бабаево
113,Белозерск
114,Великий Устюг
115,Вологда
116,Вытегра
117,Грязовец
118,Кадников
119,Кириллов
120,Красавино
121,Никольск
122,Сокол
123,Тотьма
124,Устюжна
125,Харовск
126,Череповец
127,Бобров
128,Богучар
129,Борисоглебск
130,Бутурлиновка
131,Воронеж
132,Калач
133,Лиски
134,Нововоронеж
135,Новохоперск
136,Острогожск
137,Павловск
138,Поворино
139,Россошь
140,Семилуки
141,Эртиль
142,Биробиджан
143,Облучье
144,Балей
145,Борзя
146,Краснокаменск
147,Могоча
148,Нерчинск
149,Петровск-Забайкальский
150,Сретенск
151,Хилок
152,Чита
153,Шилка
154,Вичуга
155,Гаврилов Посад
156,Заволжск
157,Иваново
158,Кинешма
159,Комсомольск
160,Кохма
161,Наволоки
162,Плес
163,Приволжск
164,Пучеж
165,Родники
166,Тейково
167,Фурманов
168,Шуя
169,Южа
170,Юрьевец
171,Алзамай
172,Ангарск
173,Байкальск
174,Бирюсинск
175,Бодайбо
176,Братск
177,Вихоревка
178,Железногорск-Илимский
179,Зима
180,Иркутск
181,Киренск
182,Нижнеудинск
183,Саянск
184,Свирск
185,Слюдянка
186,Тайшет
187,Тулун
188,Усолье-Сибирское
189,Усть-Илимск
190,Усть-Кут
191,Черемхово
192,Шелехов
193,Баксан
194,Майский
195,Нальчик
196,Нарткала
197,Прохладный
198,Терек
199,Тырныауз
200,Чегем
201,Багратионовск
202,Балтийск
203,Гвардейск
204,Гурьевск
205,Гусев
206,Зеленоградск
207,Калининград
208,Краснознаменск
209,Ладушкин
210,Мамоново
211,Неман
212,Нестеров
213,Озерск
214,Пионерский
215,Полесск
216,Правдинск
217,Приморск
218,Светлогорск
